created,tweet_text,ko_text,nouns
Thu Feb 10 06:40:21 +0000 2022,RT @hoho_5280: 이 친구 잇츠미 에 나오는 캐에요 다들 인용에 어디 장르냐고 해서 써둠 아까 막 트레일러 나온 게임~ https://t.co/iqecyKhEnZ,  이 친구 잇츠미 에 나오는 캐에요 다들 인용에 어디 장르냐고 해서 써둠 아까 막 트레일러 나온 게임 ,"['친구', '잇츠미', '인용', '장르', '트레일러']"
Thu Feb 10 06:40:15 +0000 2022,"RT @arcticcave: 출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스 (雷索纳斯, Resonance Solstice)의 메인 일러스트를 담당하였습니다.이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다. 앞으로…",  출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스   의 메인 일러스트를 담당하였습니다이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다 앞으로,"['출시', '예정', '실시간', '전략', '카드게임', '레조', '넌스', '솔스', '티스', '메인', '일러스트', '담당', '주인공', '열차', '차장', '여러가지', '해결']"
Thu Feb 10 06:40:13 +0000 2022,"RT @ho_k41: #rt+#follow 이벤트

샘들 저 홋케 필름있는 스글 0.9에 구했어요 배송 왔는데 너무 이쁭ㅇ요😭그래서 기분 좋으니깐 이벤트 
16.0 아래로 원하는거 다 부르세요🤭

장르한정입미다 
저는 굿즈만 사드립미다 제받 딴 거…",   이벤트샘들 저 홋케 필름있는 스글 에 구했어요 배송 왔는데 너무 이쁭ㅇ요그래서 기분 좋으니깐 이벤트  아래로 원하는거 다 부르세요장르한정입미다 저는 굿즈만 사드립미다 제받 딴 거,"['이벤트', '홋케', '필름', '스글', '배송', '이쁭', '래서', '기분', '이벤트', '아래', '장르', '한정', '드립']"
Thu Feb 10 06:40:08 +0000 2022,토끼풀게임즈야 뭐... '우리는 사상검증에 찬성하지 않는다' 같은 공식 입장을 냈던걸 빼면 막 엄청나게 놀랍고 혁신적이며 갓클린하기까지 한 불세출의 게임을 낸 것도 아니긴 하죠. 단지 '우리는 사상검증에 찬… https://t.co/MpVj7C9TzK,토끼풀게임즈야 뭐 우리는 사상검증에 찬성하지 않는다 같은 공식 입장을 냈던걸 빼면 막 엄청나게 놀랍고 혁신적이며 갓클린하기까지 한 불세출의 게임을 낸 것도 아니긴 하죠 단지 우리는 사상검증에 찬 ,"['토끼풀', '사상', '검증', '찬성', '공식', '입장', '혁신', '클린', '불세출', '사상', '검증']"
Thu Feb 10 06:40:07 +0000 2022,"GBA SP 게임박스 충전 케이블, 1개 https://t.co/t52eg41WcD 파트너스 활동으로 수수료를 받을수 있어요1 https://t.co/DNwKJWybqI",  게임박스 충전 케이블 개  파트너스 활동으로 수수료를 받을수 있어요 ,"['박스', '충전', '케이블', '파트너', '활동', '수수료']"
Thu Feb 10 06:40:07 +0000 2022,"RT @Lespic7: 메갈손가락고치고사과하고
페미유튜버자르고사과하는게임인데
이상하게 트위터에서실드가많은게임",  메갈손가락고치고사과하고페미유튜버자르고사과하는게임인데이상하게 트위터에서실드가많은게임,"['손가락', '고치', '사과', '페미', '튜버', '사과', '트위터', '실드']"
Thu Feb 10 06:40:07 +0000 2022,"RT @JinGY44K2022: 호남까지 이재명 이탈 현상 커지니까
무리수 던지는거지 뭐 ㅎㅎ 
이 선거는 이재명이 민주당 후보로
어거지로 뽑은 순간 게임은 끝난 거였음 

문프 멱살 잡는다고 이재명을 찍을 거 같음?
아나 엿이나 쳐머거라 민주당 ㅋㅋ",  호남까지 이재명 이탈 현상 커지니까무리수 던지는거지 뭐 ㅎㅎ 이 선거는 이재명이 민주당 후보로어거지로 뽑은 순간 게임은 끝난 거였음 문프 멱살 잡는다고 이재명을 찍을 거 같음아나 엿이나 쳐머거라 민주당 ㅋㅋ,"['호남', '이재명', '이탈', '현상', '무리수', '선거', '이재명', '민주당', '후보', '어거지', '순간', '문프', '멱살', '이재명', '이나', '민주당']"
Thu Feb 10 06:40:05 +0000 2022,"RT @arcticcave: 출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스 (雷索纳斯, Resonance Solstice)의 메인 일러스트를 담당하였습니다.이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다. 앞으로…",  출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스   의 메인 일러스트를 담당하였습니다이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다 앞으로,"['출시', '예정', '실시간', '전략', '카드게임', '레조', '넌스', '솔스', '티스', '메인', '일러스트', '담당', '주인공', '열차', '차장', '여러가지', '해결']"
Thu Feb 10 06:40:05 +0000 2022,"RT @arcticcave: 출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스 (雷索纳斯, Resonance Solstice)의 메인 일러스트를 담당하였습니다.이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다. 앞으로…",  출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스   의 메인 일러스트를 담당하였습니다이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다 앞으로,"['출시', '예정', '실시간', '전략', '카드게임', '레조', '넌스', '솔스', '티스', '메인', '일러스트', '담당', '주인공', '열차', '차장', '여러가지', '해결']"
Thu Feb 10 06:40:05 +0000 2022,"새삼 노제여보 손커서 박수 파워가 장난아니네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
같이 ABC게임하면 손 터지겠다 ㅎㅎ https://t.co/cVw07kkKjL",새삼 노제여보 손커서 박수 파워가 장난아니네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ같이 게임하면 손 터지겠다 ㅎㅎ ,"['새삼', '여보', '커서', '박수', '파워', '장난']"
